slug	rank	date	genre	artist	album	spotify	year
Woods - Songs of Shame	50	April 14, 2009	Lo-Fi	Woods	Songs of Shame	3rzVaWFBzvC7Yg6KSC7cVx	2009
Cass McCombs - Catacombs	49	June 2, 2009	Folk	Cass McCombs	Catacombs	2khhyKTcinEqcjIKetZD6X	2009
DOOM - Born Like This	48	March 24, 2009	Hip Hop	DOOM	Born Like This	3uIl85UIv3OaNRYbz7mrnd	2009
Zomby - Where Were U in 92?	47	December 9, 2008	Dubstep	Zomby	Where Were U in 92?	5duVh1qXfn9Sb0R7y6eo7r	2009
Dan Deacon - Bromst	46	March 24, 2009	Indietronica	Dan Deacon	Bromst	6SsP7QnagGoYqMRsxryQu5	2009
The Mountain Goats - The Life of the World to Come	45	October 6, 2009	Indie Rock	The Mountain Goats	The Life of the World to Come	7myOX1aVACQg3tnm62U6SI	2009
tUnE-yArDs - BiRd-BrAiNs	44	March 19, 2009	Freak Folk	tUnE-yArDs	BiRd-BrAiNs	1EwM5spoTKiTz25if5DEER	2009
Cymbals Eat Guitars - Why There Are Mountains	43	January 20, 2009	Indie Rock	Cymbals Eat Guitars	Why There Are Mountains	1BqKOalH2iJdlPL7pBrf8W	2009
A Sunny Day in Glasgow - Ashes Grammar	42	September 15, 2009	Shoegaze	A Sunny Day in Glasgow	Ashes Grammar	6KVEo7d6PJxpJqjuZVfWlh	2009
Baroness - Blue Record	41	October 13, 2009	Sludge Metal	Baroness	Blue Record	489qYkpzu44u4I6W9Ldtsx	2009
Mos Def - The Ecstatic	40	June 9, 2009	Hip Hop	Mos Def	The Ecstatic	5Oa2WgO3Jfuw2IKYrZNzTi	2009
Jim O'Rourke - The Visitor	39	September 8, 2009	Experimental	Jim O'Rourke	The Visitor		2009
Major Lazer - Guns Don't Kill People...Lazers Do	38	June 16, 2009	Dancehall	Major Lazer	Guns Don't Kill People...Lazers Do	51mR8ZUahC3H8V6j9Guq65	2009
The Antlers - Hospice	37	March 3, 2009	Indie Rock	The Antlers	Hospice	6fFp2F91noBeodV88bRwTD	2009
Dinosaur Jr. - Farm	36	June 23, 2009	Alternative Rock	Dinosaur Jr.	Farm	6IJJRVh2DWLxyZwVCi3ImK	2009
JJ - jj n° 2	35	July 1, 2009	Electronic	JJ	jj n° 2	0J0rFQDKn8v8EfAoRJ9Ojs	2009
Passion Pit - Manners	34	May 19, 2009	Electronic	Passion Pit	Manners	6H51jH1SuzV6ca1VxW2Tmv	2009
Bibio - Ambivalence Avenue	33	June 23, 2009	Experimental	Bibio	Ambivalence Avenue	7ybrct8gCd1mWsHS32ID8w	2009
Bear in Heaven - Beast Rest Forth Mouth	32	October 20, 2009	Experimental Rock	Bear in Heaven	Beast Rest Forth Mouth	4I84eFKsYX024qD05okY1x	2009
Sunn O))) - Monoliths and Dimensions	31	May 26, 2009	Drone Metal	Sunn O)))	Monoliths and Dimensions		2009
Röyksopp - Junior	30	March 23, 2009	Electronic	Röyksopp	Junior	6vQMbwthchxuSioACn2hcE	2009
Yo La Tengo - Popular Songs	29	September 8, 2009	Indie Rock	Yo La Tengo	Popular Songs	5Vi8AMs747kpnUAJRrGx0p	2009
