rank	date	genre	slug	artist	album	spotify	year
12	January 27, 2016	R&B	Rihanna - ANTI	Rihanna	ANTI	3Q149ZH46Z0f3oDR7vlDYV	2010-2019
11	November 6, 2015	Art Pop	Grimes - Art Angels	Grimes	Art Angels	5hB4jVN4ZHpubyiMmW81K1	2010-2019
10	July 17, 2012	Alternative R&B	Frank Ocean - Channel Orange	Frank Ocean	Channel Orange	623Ef2ZEB3Njklix4PC0Rs	2010-2019
9	December 15, 2014	Neo-Soul	D'Angelo - Black Messiah	D'Angelo	Black Messiah	5Hfbag0SsHxafx1SySFSX6	2010-2019
8	November 22, 2010	Electropop	Robyn - Body Talk	Robyn	Body Talk	7J4oxoeFQLTrHnjNu2ZaJ5	2010-2019
7	May 14, 2013	Indie Rock	Vampire Weekend - Modern Vampires of the City	Vampire Weekend	Modern Vampires of the City	2Qi2SySN2ePZwMLDSv9Krn	2010-2019
6	September 30, 2016	Alternative R&B	Solange - A Seat at the Table	Solange	A Seat at the Table	3Yko2SxDk4hc6fncIBQlcM	2010-2019
5	June 19, 2012	Singer-Songwriter	Fiona Apple - The Idler Wheel	Fiona Apple	The Idler Wheel	7uccppFArLf9dNOwDftOZa	2010-2019
4	March 16, 2015	Hip Hop	Kendrick Lamar - To Pimp a Butterfly	Kendrick Lamar	To Pimp a Butterfly	7ycBtnsMtyVbbwTfJwRjSP	2010-2019
3	December 13, 2013	R&B	Beyoncé - Beyoncé	Beyoncé	Beyoncé	2noKUZhXwUhPQMgSr56T4G	2010-2019
2	November 22, 2010	Hip Hop	Kanye West - My Beautiful Dark Twisted Fantasy	Kanye West	My Beautiful Dark Twisted Fantasy	6LBiuhK7PZKjVXyMfPxPoh	2010-2019
1	August 20, 2016	Alternative R&B	Frank Ocean - Blonde	Frank Ocean	Blonde	1PDX0hMmsSdq122EupvNZF	2010-2019
50	August 3, 2010	Indie Rock	Wavves - King of the Beach	Wavves	King of the Beach	0EYSLCjAJiGtGfPuENfQYc	2010
49	May 25, 2010	Dream Pop	Wild Nothing - Gemini	Wild Nothing	Gemini	3oPuSNDpKa84WJLWstHomV	2010
48	March 1, 2010	Neo-Psychedelia	Forest Swords - Dagger Paths	Forest Swords	Dagger Paths	5lAR8NUtW605yBZae8MS0J	2010
47	September 28, 2010	Post-Punk	Women - Public Strain	Women	Public Strain	4bOm9cju3kHhqoE5ZjGurt	2010
46	August 17, 2010	Electronic	Matthew Dear - Black City	Matthew Dear	Black City	6GhqAQ0NYXwrG4JIidzBso	2010
45	February 9, 2010	Soul	Gil Scott-Heron - I'm New Here	Gil Scott-Heron	I'm New Here	60JXrFsIxXP6rqd4jdTfrn	2010
44	October 26, 2010	Sludge Metal	Kylesa - Spiral Shadow	Kylesa	Spiral Shadow	5CP0zFLnRi8SAxb1NxuB6b	2010
43	May 25, 2010	Psychedelic Rock	Tame Impala - Innerspeaker	Tame Impala	Innerspeaker	51jAc3sHdN2YG1X5AZg6Ow	2010
42	June 15, 2010	Hip Hop	Drake - Thank Me Later	Drake	Thank Me Later	6jlrjFR9mJV3jd1IPSplXU	2010
41	June 8, 2010	Indietronica	Delorean - Subiza	Delorean	Subiza	1Xl3ibPzUoDmMrHcr8J32T	2010
40	September 28, 2010	Indie Rock	Abe Vigoda - Crush	Abe Vigoda	Crush	4416b7x6TolPco1AjI9gR7	2010
39	July 27, 2010	Indie Pop	Best Coast - Crazy for You	Best Coast	Crazy for You	0xwxWdZEI2JmZOqazm0HCU	2010
38	July 20, 2010	Hip Hop	Rick Ross - Teflon Don	Rick Ross	Teflon Don	0jipZxGtkTDHjVerLkzO80	2010
37	August 23, 2010	Psychedelic	Zola Jesus - Stridulum II	Zola Jesus	Stridulum II	79Guttnxvzx1fBh30vNWhY	2010
36	June 8, 2010	Drone	Emeralds - Does It Look Like I'm Here?	Emeralds	Does It Look Like I'm Here?	0c0XkZh9vWXg473nchoArI	2010
35	March 9, 2010	Electropop	Gorillaz - Plastic Beach	Gorillaz	Plastic Beach	2dIGnmEIy1WZIcZCFSj6i8	2010
34	May 25, 2010	Electronic	Crystal Castles - Crystal Castles	Crystal Castles	Crystal Castles	75olNPlDKi2XQhTD9IPlVC	2010
33	April 13, 2010	Folk	The Tallest Man On Earth - The Wild Hunt	The Tallest Man On Earth	The Wild Hunt	6cnZbo9GSSTTafDnoXtSGL	2010
32	December 25, 2009	Hip Hop	Tyler, the Creator - Bastard	Tyler, the Creator	Bastard		2010
31	May 4, 2010	Lo-Fi	Woods - At Echo Lake	Woods	At Echo Lake	45YGCEh09Ji6rdHjPgNdw8	2010
30	June 29, 2010	R&B	The-Dream - Love King	The-Dream	Love King	08912w1sEZbVmc4XZr40JE	2010
29	October 12, 2010	Garage Rock	The Fresh & Onlys - Play It Strange	The Fresh & Onlys	Play It Strange	6Z0GV47fGK4hcnzklj80OX	2010
28	May 10, 2010	Indie Rock	The National - High Violet	The National	High Violet	59gXPxZ8CwFaeknPxtxXHZ	2010
27	January 26, 2010	Electronic	Four Tet - There Is Love in You	Four Tet	There Is Love in You	6x2gG7Pw1g54ZjQWjiAVCK	2010
26	September 28, 2010	New Wave	Twin Shadow - Forget	Twin Shadow	Forget	74fmoh0ZhWbwhW4GZRW4D8	2010
25	October 12, 2010	Chamber Pop	Sufjan Stevens - The Age of Adz	Sufjan Stevens	The Age of Adz	4ln0tQzp4XX6o2Z8XIlVDk	2010
24	February 9, 2010	Synthpop	Hot Chip - One Life Stand	Hot Chip	One Life Stand	71hq2cOVNhHTFOvy2erv01	2010
23	September 14, 2010	Hip Hop	Das Racist - Sit Down, Man	Das Racist	Sit Down, Man		2010
22	November 22, 2010	Indie Pop	Girls - Broken Dreams Club	Girls	Broken Dreams Club	7BckGE6X3hGi0L1TDO43PN	2010
21	September 14, 2010	Indie Rock	The Walkmen - Lisbon	The Walkmen	Lisbon	1OvxCp2JiapV5L2KXV7hzW	2010
20	June 21, 2010	Drone	Oneohtrix Point Never - Returnal	Oneohtrix Point Never	Returnal	7fz1x7StTrizRtDT8DXLA9	2010
19	October 19, 2010	Dream Pop	How to Dress Well - Love Remains	How to Dress Well	Love Remains	3MxMzvb0VJZXCSgfsX0UcF	2010
18	March 30, 2010	Neo-Soul	Erykah Badu - New Amerykah Part Two: Return of the Ankh	Erykah Badu	New Amerykah Part Two: Return of the Ankh	1MOub955Uer957RVqqkF2a	2010
17	April 20, 2010	Electronic	Caribou - Swim	Caribou	Swim	74vgQmQX8dVxpw9zcPEFxE	2010
16	May 11, 2010	Noise Pop	Sleigh Bells - Treats	Sleigh Bells	Treats	7l5Y3f2amyv1acMfZZQfa2	2010
15	November 22, 2010	Electropop	Robyn - Body Talk	Robyn	Body Talk	7J4oxoeFQLTrHnjNu2ZaJ5	2010
14	May 4, 2010	IDM	Flying Lotus - Cosmogramma	Flying Lotus	Cosmogramma	5c7XChrHxYaqykCZLaGM5f	2010
13	September 28, 2010	Indie Rock	No Age - Everything in Between	No Age	Everything in Between	3silW4wJsKp3p8tJEU9SJa	2010
12	May 18, 2010	R&B	Janelle Monáe - The ArchAndroid	Janelle Monáe	The ArchAndroid	7MvSB0JTdtl1pSwZcgvYQX	2010
11	August 3, 2010	Indie Rock	Arcade Fire - The Suburbs	Arcade Fire	The Suburbs	4zJBuQXo92Q7QhA5U4V8kw	2010
10	March 9, 2010	Indie Rock	Titus Andronicus - The Monitor	Titus Andronicus	The Monitor	5U09FQWagzAU5HPmufUAlU	2010
9	June 8, 2010	Psychedelic Pop	Ariel Pink's Haunted Graffiti - Before Today	Ariel Pink's Haunted Graffiti	Before Today	1dO7qBlkQXYENJaHfK7h56	2010
8	October 10, 2010	Dubstep	James Blake - Klavierwerke EP	James Blake	Klavierwerke EP	5y34dFTJVbEzIZcVF0F6N0	2010
8	May 31, 2010	Dubstep	James Blake - CMYK EP	James Blake	CMYK EP	77ouWfDXYOYnES19CFiPKS	2010
8	March 15, 2010	Dubstep	James Blake - The Bells Sketch EP	James Blake	The Bells Sketch EP		2010
7	February 23, 2010	Indie Folk	Joanna Newsom - Have One on Me	Joanna Newsom	Have One on Me		2010
6	January 12, 2010	Indie Rock	Vampire Weekend - Contra	Vampire Weekend	Contra	0zeAijecFGZOS4OaRdPVz5	2010
5	January 26, 2010	Dream Pop	Beach House - Teen Dream	Beach House	Teen Dream	72mGz9Dnt42euozq8yBULe	2010
4	July 6, 2010	Hip Hop	Big Boi - Sir Lucious Left Foot: The Son of Chico Dusty	Big Boi	Sir Lucious Left Foot: The Son of Chico Dusty	0GZMsKdDsbNhxvM1VaxB0U	2010
3	September 28, 2010	Indie Rock	Deerhunter - Halcyon Digest	Deerhunter	Halcyon Digest	1HUMjB15ARg96KIypcGzYY	2010
2	May 18, 2010	Dance Punk	LCD Soundsystem - This Is Happening	LCD Soundsystem	This Is Happening	4hnqM0JK4CM1phwfq1Ldyz	2010
1	November 22, 2010	Hip Hop	Kanye West - My Beautiful Dark Twisted Fantasy	Kanye West	My Beautiful Dark Twisted Fantasy	6LBiuhK7PZKjVXyMfPxPoh	2010
50	September 27, 2011	Dream Pop	Youth Lagoon - The Year of Hibernation	Youth Lagoon	The Year of Hibernation	0mcvDycoex7ANLZOmVVRoD	2011
49	September 13, 2011	Indie Rock	Wild Flag - Wild Flag	Wild Flag	Wild Flag	2HcZpInX7XfjQ69EsGKrhS	2011
48	February 22, 2011	Chillwave	Toro y Moi - Underneath The Pine	Toro y Moi	Underneath The Pine	00wmVs9BwWaSjLXBAzwUPq	2011
47	November 21, 2011	Dubstep	Sepalcure - Sepalcure	Sepalcure	Sepalcure	4NAZkbgSggue9GbUVoA4rf	2011
46	June 7, 2011	Indie Pop	Cults - Cults	Cults	Cults	2jb0zRewft3L2AwCOMx3du	2011
45	July 2, 2011	Hip Hop	Kendrick Lamar - Section.80	Kendrick Lamar	Section.80	13WjgUEEAQp0d9JqojlWp1	2011
