year,ceremonyNum,award,won,name,movie
1927/28 (1st),1,ACTOR,,Richard Barthelmess,The Noose
1927/28 (1st),1,ACTOR,1,Emil Jannings,The Last Command
1927/28 (1st),1,ACTRESS,,Louise Dresser,A Ship Comes In
1927/28 (1st),1,ACTRESS,1,Janet Gaynor,7th Heaven
1927/28 (1st),1,ACTRESS,,Gloria Swanson,Sadie Thompson
1927/28 (1st),1,ART DIRECTION,,Rochus Gliese,Sunrise
1927/28 (1st),1,ART DIRECTION,1,William Cameron Menzies,The Dove; and Tempest
1927/28 (1st),1,ART DIRECTION,,Harry Oliver,7th Heaven
1927/28 (1st),1,CINEMATOGRAPHY,,George Barnes,The Devil Dancer; The Magic Flame; and Sadie Thompson
1927/28 (1st),1,CINEMATOGRAPHY,1,Charles Rosher,Sunrise
1927/28 (1st),1,CINEMATOGRAPHY,1,Karl Struss,Sunrise
1927/28 (1st),1,DIRECTING (Comedy Picture),1,Lewis Milestone,Two Arabian Knights
1927/28 (1st),1,DIRECTING (Comedy Picture),,Ted Wilde,Speedy
1927/28 (1st),1,DIRECTING (Dramatic Picture),1,Frank Borzage,7th Heaven
1927/28 (1st),1,DIRECTING (Dramatic Picture),,Herbert Brenon,Sorrell and Son
1927/28 (1st),1,DIRECTING (Dramatic Picture),,King Vidor,The Crowd
1927/28 (1st),1,ENGINEERING EFFECTS,,Ralph Hammeras,
1927/28 (1st),1,ENGINEERING EFFECTS,1,Roy Pomeroy,Wings
1927/28 (1st),1,ENGINEERING EFFECTS,,Nugent Slaughter,
1927/28 (1st),1,OUTSTANDING PICTURE,,The Caddo Company,The Racket
1927/28 (1st),1,OUTSTANDING PICTURE,,Fox,7th Heaven
1927/28 (1st),1,OUTSTANDING PICTURE,1,Paramount Famous Lasky,Wings
1927/28 (1st),1,UNIQUE AND ARTISTIC PICTURE,1,Fox,Sunrise
1927/28 (1st),1,UNIQUE AND ARTISTIC PICTURE,,Metro-Goldwyn-Mayer,The Crowd
1927/28 (1st),1,UNIQUE AND ARTISTIC PICTURE,,Paramount Famous Lasky,Chang
1927/28 (1st),1,WRITING (Adaptation),,Alfred Cohn,The Jazz Singer
1927/28 (1st),1,WRITING (Adaptation),,Anthony Coldeway,Glorious Betsy
1927/28 (1st),1,WRITING (Adaptation),1,Benjamin Glazer,7th Heaven
1927/28 (1st),1,WRITING (Original Story),,Lajos Biro,The Last Command
1927/28 (1st),1,WRITING (Original Story),1,Ben Hecht,Underworld
1927/28 (1st),1,WRITING (Title Writing),,Gerald Duffy,The Private Life of Helen of Troy
1927/28 (1st),1,WRITING (Title Writing),1,Joseph Farnham,
1927/28 (1st),1,WRITING (Title Writing),,"George Marion, Jr.",
1927/28 (1st),1,SPECIAL AWARD,1,"To Warner Bros., for producing The Jazz Singer, the pioneer outstanding talking picture, which has revolutionized the industry.",
1927/28 (1st),1,SPECIAL AWARD,1,"To Charles Chaplin, for acting, writing, directing and producing The Circus.",
1928/29 (2nd),2,ACTOR,,George Bancroft,Thunderbolt
1928/29 (2nd),2,ACTOR,1,Warner Baxter,In Old Arizona
1928/29 (2nd),2,ACTOR,,Chester Morris,Alibi
1928/29 (2nd),2,ACTOR,,Paul Muni,The Valiant
1928/29 (2nd),2,ACTOR,,Lewis Stone,The Patriot
1928/29 (2nd),2,ACTRESS,,Ruth Chatterton,Madame X
1928/29 (2nd),2,ACTRESS,,Betty Compson,The Barker
1928/29 (2nd),2,ACTRESS,,Jeanne Eagels,The Letter
1928/29 (2nd),2,ACTRESS,,Corinne Griffith,The Divine Lady
1928/29 (2nd),2,ACTRESS,,Bessie Love,The Broadway Melody
1928/29 (2nd),2,ACTRESS,1,Mary Pickford,Coquette
1928/29 (2nd),2,ART DIRECTION,,Hans Dreier,The Patriot
1928/29 (2nd),2,ART DIRECTION,1,Cedric Gibbons,The Bridge of San Luis Rey
1928/29 (2nd),2,ART DIRECTION,,Mitchell Leisen,Dynamite
1928/29 (2nd),2,ART DIRECTION,,William Cameron Menzies,Alibi; and The Awakening
1928/29 (2nd),2,ART DIRECTION,,Harry Oliver,Street Angel
1928/29 (2nd),2,CINEMATOGRAPHY,,George Barnes,Our Dancing Daughters
1928/29 (2nd),2,CINEMATOGRAPHY,1,Clyde De Vinna,White Shadows in the South Seas
1928/29 (2nd),2,CINEMATOGRAPHY,,Arthur Edeson,In Old Arizona
1928/29 (2nd),2,CINEMATOGRAPHY,,Ernest Palmer,Four Devils; and Street Angel
1928/29 (2nd),2,CINEMATOGRAPHY,,John Seitz,The Divine Lady
1928/29 (2nd),2,DIRECTING,,Lionel Barrymore,Madame X
1928/29 (2nd),2,DIRECTING,,Harry Beaumont,The Broadway Melody
1928/29 (2nd),2,DIRECTING,,Irving Cummings,In Old Arizona
1928/29 (2nd),2,DIRECTING,1,Frank Lloyd,The Divine Lady
1928/29 (2nd),2,DIRECTING,,Frank Lloyd,Drag; and Weary River
1928/29 (2nd),2,DIRECTING,,Ernst Lubitsch,The Patriot
1928/29 (2nd),2,OUTSTANDING PICTURE,,Feature Productions,Alibi
1928/29 (2nd),2,OUTSTANDING PICTURE,,Fox,In Old Arizona
1928/29 (2nd),2,OUTSTANDING PICTURE,1,Metro-Goldwyn-Mayer,The Broadway Melody
1928/29 (2nd),2,OUTSTANDING PICTURE,,Metro-Goldwyn-Mayer,Hollywood Revue
1928/29 (2nd),2,OUTSTANDING PICTURE,,Paramount Famous Lasky,The Patriot
1928/29 (2nd),2,WRITING,,Tom Barry,In Old Arizona; and The Valiant
1928/29 (2nd),2,WRITING,,Elliott Clawson,The Cop; The Leatherneck; Sal of Singapore; and Skyscraper
1928/29 (2nd),2,WRITING,,Hans Kraly,The Last of Mrs. Cheyney
1928/29 (2nd),2,WRITING,1,Hans Kraly,The Patriot
1928/29 (2nd),2,WRITING,,Josephine Lovett,Our Dancing Daughters
1928/29 (2nd),2,WRITING,,Bess Meredyth,A Woman of Affairs; and Wonder of Women
1929/30 (3rd),3,ACTOR,1,George Arliss,Disraeli
1929/30 (3rd),3,ACTOR,,George Arliss,The Green Goddess
1929/30 (3rd),3,ACTOR,,Wallace Beery,The Big House
1929/30 (3rd),3,ACTOR,,Maurice Chevalier,The Big Pond
1929/30 (3rd),3,ACTOR,,Ronald Colman,Bulldog Drummond
1929/30 (3rd),3,ACTOR,,Lawrence Tibbett,The Rogue Song
1929/30 (3rd),3,ACTRESS,,Nancy Carroll,The Devil's Holiday
1929/30 (3rd),3,ACTRESS,,Ruth Chatterton,Sarah and Son
1929/30 (3rd),3,ACTRESS,,Greta Garbo,Anna Christie
1929/30 (3rd),3,ACTRESS,1,Norma Shearer,The Divorcee
1929/30 (3rd),3,ACTRESS,,Norma Shearer,Their Own Desire
1929/30 (3rd),3,ACTRESS,,Gloria Swanson,The Trespasser
1929/30 (3rd),3,ART DIRECTION,,Bulldog Drummond ,(William Cameron Menzies)
1929/30 (3rd),3,ART DIRECTION,1,King of Jazz ,Herman Rosse
1929/30 (3rd),3,ART DIRECTION,,The Love Parade ,(Hans Dreier)
1929/30 (3rd),3,ART DIRECTION,,Sally ,(Jack Okey)
1929/30 (3rd),3,ART DIRECTION,,The Vagabond King ,(Hans Dreier)
1929/30 (3rd),3,CINEMATOGRAPHY,,All Quiet on the Western Front ,(Arthur Edeson)
1929/30 (3rd),3,CINEMATOGRAPHY,,Anna Christie ,(William Daniels)
1929/30 (3rd),3,CINEMATOGRAPHY,,Hell's Angels ,"(Gaetano Gaudio), (Harry Perry)"
1929/30 (3rd),3,CINEMATOGRAPHY,,The Love Parade ,(Victor Milner)
1929/30 (3rd),3,CINEMATOGRAPHY,1,With Byrd at the South Pole ,"Joseph T. Rucker, Willard Van Der Veer"
1929/30 (3rd),3,DIRECTING,,Clarence Brown,Anna Christie; and Romance
1929/30 (3rd),3,DIRECTING,,Robert Leonard,The Divorcee
1929/30 (3rd),3,DIRECTING,,Ernst Lubitsch,The Love Parade
1929/30 (3rd),3,DIRECTING,1,Lewis Milestone,All Quiet on the Western Front
1929/30 (3rd),3,DIRECTING,,King Vidor,Hallelujah
1929/30 (3rd),3,OUTSTANDING PRODUCTION,1,All Quiet on the Western Front ,Universal
1929/30 (3rd),3,OUTSTANDING PRODUCTION,,The Big House ,Cosmopolitan
1929/30 (3rd),3,OUTSTANDING PRODUCTION,,Disraeli ,Warner Bros.
1929/30 (3rd),3,OUTSTANDING PRODUCTION,,The Divorcee ,Metro-Goldwyn-Mayer
1929/30 (3rd),3,OUTSTANDING PRODUCTION,,The Love Parade ,Paramount Famous Lasky
1929/30 (3rd),3,SOUND RECORDING,1,The Big House ,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director"
1929/30 (3rd),3,SOUND RECORDING,,The Case of Sergeant Grischa ,"(RKO Radio Studio Sound Department, John Tribby, Sound Director)"
1929/30 (3rd),3,SOUND RECORDING,,The Love Parade ,"(Paramount Famous Lasky Studio Sound Department, Franklin Hansen, Sound Director)"
1929/30 (3rd),3,SOUND RECORDING,,Raffles ,"(United Artists Studio Sound Department, Oscar Lagerstrom, Sound Director)"
1929/30 (3rd),3,SOUND RECORDING,,Song of the Flame ,"(First National Studio Sound Department, George Groves, Sound Director)"
1929/30 (3rd),3,WRITING,,All Quiet on the Western Front ,"(George Abbott), (Maxwell Anderson), (Del Andrews)"
1929/30 (3rd),3,WRITING,1,The Big House ,Frances Marion
1929/30 (3rd),3,WRITING,,Disraeli ,(Julian Josephson)
1929/30 (3rd),3,WRITING,,The Divorcee ,(John Meehan)
1929/30 (3rd),3,WRITING,,Street of Chance ,(Howard Estabrook)
1930/31 (4th),4,ACTOR,1,Lionel Barrymore,A Free Soul
1930/31 (4th),4,ACTOR,,Jackie Cooper,Skippy
1930/31 (4th),4,ACTOR,,Richard Dix,Cimarron
1930/31 (4th),4,ACTOR,,Fredric March,The Royal Family of Broadway
1930/31 (4th),4,ACTOR,,Adolphe Menjou,The Front Page
1930/31 (4th),4,ACTRESS,,Marlene Dietrich,Morocco
1930/31 (4th),4,ACTRESS,1,Marie Dressler,Min and Bill
1930/31 (4th),4,ACTRESS,,Irene Dunne,Cimarron
1930/31 (4th),4,ACTRESS,,Ann Harding,Holiday
1930/31 (4th),4,ACTRESS,,Norma Shearer,A Free Soul
1930/31 (4th),4,ART DIRECTION,1,Cimarron ,Max Rée
1930/31 (4th),4,ART DIRECTION,,Just Imagine ,"Stephen Goosson, Ralph Hammeras"
1930/31 (4th),4,ART DIRECTION,,Morocco ,Hans Dreier
1930/31 (4th),4,ART DIRECTION,,Svengali ,Anton Grot
1930/31 (4th),4,ART DIRECTION,,Whoopee! ,Richard Day
1930/31 (4th),4,CINEMATOGRAPHY,,Cimarron ,Edward Cronjager
1930/31 (4th),4,CINEMATOGRAPHY,,Morocco ,Lee Garmes
1930/31 (4th),4,CINEMATOGRAPHY,,The Right to Love ,Charles Lang
1930/31 (4th),4,CINEMATOGRAPHY,,Svengali ,Barney Chick McGill
1930/31 (4th),4,CINEMATOGRAPHY,1,Tabu ,Floyd Crosby
1930/31 (4th),4,DIRECTING,,Cimarron ,Wesley Ruggles
1930/31 (4th),4,DIRECTING,,A Free Soul ,Clarence Brown
1930/31 (4th),4,DIRECTING,,The Front Page ,Lewis Milestone
1930/31 (4th),4,DIRECTING,,Morocco ,Josef Von Sternberg
1930/31 (4th),4,DIRECTING,1,Skippy ,Norman Taurog
1930/31 (4th),4,OUTSTANDING PRODUCTION,1,Cimarron ,RKO Radio
1930/31 (4th),4,OUTSTANDING PRODUCTION,,East Lynne ,Fox
1930/31 (4th),4,OUTSTANDING PRODUCTION,,The Front Page ,The Caddo Company
1930/31 (4th),4,OUTSTANDING PRODUCTION,,Skippy ,Paramount Publix
1930/31 (4th),4,OUTSTANDING PRODUCTION,,Trader Horn ,Metro-Goldwyn-Mayer
1930/31 (4th),4,SOUND RECORDING,,Samuel Goldwyn - United Artists Studio Sound Department,
1930/31 (4th),4,SOUND RECORDING,,Metro-Goldwyn-Mayer Studio Sound Department,
1930/31 (4th),4,SOUND RECORDING,1,Paramount Publix Studio Sound Department,
1930/31 (4th),4,SOUND RECORDING,,RKO Radio Studio Sound Department,
1930/31 (4th),4,WRITING (Adaptation),1,Cimarron ,Howard Estabrook
1930/31 (4th),4,WRITING (Adaptation),,The Criminal Code ,"Seton I. Miller, Fred Niblo, Jr."
1930/31 (4th),4,WRITING (Adaptation),,Holiday ,Horace Jackson
1930/31 (4th),4,WRITING (Adaptation),,Little Caesar ,"Francis Faragoh, Robert N. Lee"
1930/31 (4th),4,WRITING (Adaptation),,Skippy ,"Joseph L. Mankiewicz, Sam Mintz"
1930/31 (4th),4,WRITING (Original Story),1,The Dawn Patrol ,John Monk Saunders
1930/31 (4th),4,WRITING (Original Story),,The Doorway to Hell ,Rowland Brown
1930/31 (4th),4,WRITING (Original Story),,Laughter ,"Harry d'Abbadie d'Arrast, Douglas Doty, Donald Ogden Stewart"
1930/31 (4th),4,WRITING (Original Story),,The Public Enemy ,"John Bright, Kubec Glasmon"
1930/31 (4th),4,WRITING (Original Story),,Smart Money ,"Lucien Hubbard, Joseph Jackson"
1930/31 (4th),4,SCIENTIFIC OR TECHNICAL AWARD (Class I),1,"To ELECTRICAL RESEARCH PRODUCTS, INC., RCA-PHOTOPHONE, INC. and RKO RADIO PICTURES, INC., for noise reduction recording equipment. [Sound]",
1930/31 (4th),4,SCIENTIFIC OR TECHNICAL AWARD (Class I),1,To DuPONT FILM MANUFACTURING CORP. and EASTMAN KODAK COMPANY for super-sensitive panchromatic film. [Film],
1930/31 (4th),4,SCIENTIFIC OR TECHNICAL AWARD (Class II),1,To FOX FILM CORP. for effective use of synchro-projection composite photography. [Sound],
1930/31 (4th),4,SCIENTIFIC OR TECHNICAL AWARD (Class III),1,"To ELECTRICAL RESEARCH PRODUCTS, INC. for moving coil microphone transmitters. [Sound]",
1930/31 (4th),4,SCIENTIFIC OR TECHNICAL AWARD (Class III),1,"To RKO RADIO PICTURES, INC. for reflex type microphone concentrators. [Sound]",
1930/31 (4th),4,SCIENTIFIC OR TECHNICAL AWARD (Class III),1,"To RCA-PHOTOPHONE, INC. for ribbon microphone transmitters. [Sound]",
1931/32 (5th),5,ACTOR,1,Wallace Beery,The Champ
1931/32 (5th),5,ACTOR,,Alfred Lunt,The Guardsman
1931/32 (5th),5,ACTOR,1,Fredric March,Dr. Jekyll and Mr. Hyde
1931/32 (5th),5,ACTRESS,,Marie Dressler,Emma
1931/32 (5th),5,ACTRESS,,Lynn Fontanne,The Guardsman
1931/32 (5th),5,ACTRESS,1,Helen Hayes,The Sin of Madelon Claudet
1931/32 (5th),5,ART DIRECTION,,À Nous la Liberté ,Lazare Meerson
1931/32 (5th),5,ART DIRECTION,,Arrowsmith ,Richard Day
1931/32 (5th),5,ART DIRECTION,1,Transatlantic ,Gordon Wiles
1931/32 (5th),5,CINEMATOGRAPHY,,Arrowsmith ,Ray June
1931/32 (5th),5,CINEMATOGRAPHY,,Dr. Jekyll and Mr. Hyde ,Karl Struss
1931/32 (5th),5,CINEMATOGRAPHY,1,Shanghai Express ,Lee Garmes
1931/32 (5th),5,DIRECTING,1,Bad Girl ,Frank Borzage
1931/32 (5th),5,DIRECTING,,The Champ ,King Vidor
1931/32 (5th),5,DIRECTING,,Shanghai Express ,Josef Von Sternberg
1931/32 (5th),5,OUTSTANDING PRODUCTION,,Arrowsmith ,Samuel Goldwyn Productions
1931/32 (5th),5,OUTSTANDING PRODUCTION,,Bad Girl ,Fox
1931/32 (5th),5,OUTSTANDING PRODUCTION,,The Champ ,Metro-Goldwyn-Mayer
1931/32 (5th),5,OUTSTANDING PRODUCTION,,Five Star Final ,First National
1931/32 (5th),5,OUTSTANDING PRODUCTION,1,Grand Hotel ,Metro-Goldwyn-Mayer
1931/32 (5th),5,OUTSTANDING PRODUCTION,,One Hour with You ,Paramount Publix
1931/32 (5th),5,OUTSTANDING PRODUCTION,,Shanghai Express ,Paramount Publix
1931/32 (5th),5,OUTSTANDING PRODUCTION,,The Smiling Lieutenant ,Paramount Publix
1931/32 (5th),5,SHORT SUBJECT (Cartoon),1,Flowers and Trees ,"Walt Disney, Producer"
1931/32 (5th),5,SHORT SUBJECT (Cartoon),,It's Got Me Again ,"Leon Schlesinger, Producer"
1931/32 (5th),5,SHORT SUBJECT (Cartoon),,Mickey's Orphans ,"Walt Disney, Producer"
1931/32 (5th),5,SHORT SUBJECT (Comedy),,The Loud Mouth ,"Mack Sennett, Producer"
1931/32 (5th),5,SHORT SUBJECT (Comedy),1,The Music Box ,"Hal Roach, Producer"
1931/32 (5th),5,SHORT SUBJECT (Comedy),,Scratch-As-Catch-Can ,RKO Radio
1931/32 (5th),5,SHORT SUBJECT (Comedy),,Stout Hearts and Willing Hands ,RKO Radio
1931/32 (5th),5,SHORT SUBJECT (Novelty),,Screen Souvenirs ,Paramount Publix
1931/32 (5th),5,SHORT SUBJECT (Novelty),,Swing High ,Metro-Goldwyn-Mayer
1931/32 (5th),5,SHORT SUBJECT (Novelty),1,Wrestling Swordfish ,"Mack Sennett, Producer"
1931/32 (5th),5,SOUND RECORDING,,Metro-Goldwyn-Mayer Studio Sound Department,
1931/32 (5th),5,SOUND RECORDING,1,Paramount Publix Studio Sound Department,
1931/32 (5th),5,SOUND RECORDING,,RKO Radio Studio Sound Department,
1931/32 (5th),5,SOUND RECORDING,,Warner Bros.-First National Studio Sound Department,
1931/32 (5th),5,WRITING (Adaptation),,Arrowsmith ,Sidney Howard
1931/32 (5th),5,WRITING (Adaptation),1,Bad Girl ,Edwin Burke
1931/32 (5th),5,WRITING (Adaptation),,Dr. Jekyll and Mr. Hyde ,"Percy Heath, Samuel Hoffenstein"
1931/32 (5th),5,WRITING (Original Story),1,The Champ ,Frances Marion
1931/32 (5th),5,WRITING (Original Story),,Lady and Gent ,"Grover Jones, William Slavens McNutt"
1931/32 (5th),5,WRITING (Original Story),,The Star Witness ,Lucien Hubbard
1931/32 (5th),5,WRITING (Original Story),,What Price Hollywood? ,"Adela Rogers St. Johns, Jane Murfin"
1931/32 (5th),5,SPECIAL AWARD,1,"To Walt Disney for the creation of ""Mickey Mouse.""",
1931/32 (5th),5,SCIENTIFIC OR TECHNICAL AWARD (Class II),1,To TECHNICOLOR MOTION PICTURE CORP. for its color cartoon process. [Cartoon Process],
1931/32 (5th),5,SCIENTIFIC OR TECHNICAL AWARD (Class III),1,To EASTMAN KODAK COMPANY for its Type II-B Sensitometer. [Laboratory],
1932/33 (6th),6,ACTOR,,Leslie Howard,Berkeley Square
1932/33 (6th),6,ACTOR,1,Charles Laughton,The Private Life of Henry VIII
1932/33 (6th),6,ACTOR,,Paul Muni,I Am a Fugitive from a Chain Gang
1932/33 (6th),6,ACTRESS,1,Katharine Hepburn,Morning Glory
1932/33 (6th),6,ACTRESS,,May Robson,Lady for a Day
1932/33 (6th),6,ACTRESS,,Diana Wynyard,Cavalcade
1932/33 (6th),6,ART DIRECTION,1,Cavalcade ,William S. Darling
1932/33 (6th),6,ART DIRECTION,,A Farewell to Arms ,"Hans Dreier, Roland Anderson [came in 2nd]"
1932/33 (6th),6,ART DIRECTION,,When Ladies Meet ,Cedric Gibbons [came in 3rd]
1932/33 (6th),6,ASSISTANT DIRECTOR,,Percy Ikerd (Fox),
1932/33 (6th),6,ASSISTANT DIRECTOR,1,William Tummel (Fox),
1932/33 (6th),6,ASSISTANT DIRECTOR,1,Charles Dorian (Metro-Goldwyn-Mayer),
1932/33 (6th),6,ASSISTANT DIRECTOR,,Bunny Dull (Metro-Goldwyn-Mayer),
1932/33 (6th),6,ASSISTANT DIRECTOR,,John S. Waters (Metro-Goldwyn-Mayer),
1932/33 (6th),6,ASSISTANT DIRECTOR,1,Charles Barton (Paramount),
1932/33 (6th),6,ASSISTANT DIRECTOR,,Sidney S. Brod (Paramount),
1932/33 (6th),6,ASSISTANT DIRECTOR,,Arthur Jacobson (Paramount),
1932/33 (6th),6,ASSISTANT DIRECTOR,,Eddie Killey (RKO Radio),
1932/33 (6th),6,ASSISTANT DIRECTOR,1,Dewey Starkey (RKO Radio),
1932/33 (6th),6,ASSISTANT DIRECTOR,1,Fred Fox (United Artists),
1932/33 (6th),6,ASSISTANT DIRECTOR,,Benjamin Silvey (United Artists),
1932/33 (6th),6,ASSISTANT DIRECTOR,1,Scott Beal (Universal),
1932/33 (6th),6,ASSISTANT DIRECTOR,,Joe McDonough (Universal),
1932/33 (6th),6,ASSISTANT DIRECTOR,,W. J. Reiter (Universal),
1932/33 (6th),6,ASSISTANT DIRECTOR,,Al Alborn (Warner Bros.),
1932/33 (6th),6,ASSISTANT DIRECTOR,1,Gordon Hollingshead (Warner Bros.),
1932/33 (6th),6,ASSISTANT DIRECTOR,,Frank X. Shaw (Warner Bros.),
1932/33 (6th),6,CINEMATOGRAPHY,1,A Farewell to Arms ,"Charles Bryant Lang, Jr."
1932/33 (6th),6,CINEMATOGRAPHY,,Reunion in Vienna ,George J. Folsey [came in 2nd]
1932/33 (6th),6,CINEMATOGRAPHY,,The Sign of the Cross ,Karl Struss [came in 3rd]
1932/33 (6th),6,DIRECTING,1,Cavalcade ,Frank Lloyd
1932/33 (6th),6,DIRECTING,,Lady for a Day ,Frank Capra [came in 2nd]
1932/33 (6th),6,DIRECTING,,Little Women ,George Cukor [came in 3rd]
1932/33 (6th),6,OUTSTANDING PRODUCTION,1,Cavalcade ,Fox
1932/33 (6th),6,OUTSTANDING PRODUCTION,,A Farewell to Arms ,Paramount [came in 2nd]
1932/33 (6th),6,OUTSTANDING PRODUCTION,,42nd Street ,Warner Bros.
1932/33 (6th),6,OUTSTANDING PRODUCTION,,I Am a Fugitive from a Chain Gang ,Warner Bros.
1932/33 (6th),6,OUTSTANDING PRODUCTION,,Lady for a Day ,Columbia
1932/33 (6th),6,OUTSTANDING PRODUCTION,,Little Women ,RKO Radio [came in 3rd]
1932/33 (6th),6,OUTSTANDING PRODUCTION,,The Private Life of Henry VIII ,London Films
1932/33 (6th),6,OUTSTANDING PRODUCTION,,She Done Him Wrong ,Paramount
1932/33 (6th),6,OUTSTANDING PRODUCTION,,Smilin' Through ,Metro-Goldwyn-Mayer
1932/33 (6th),6,OUTSTANDING PRODUCTION,,State Fair ,Fox
1932/33 (6th),6,SHORT SUBJECT (Cartoon),,Building a Building ,"Walt Disney, Producer [came in 2nd]"
1932/33 (6th),6,SHORT SUBJECT (Cartoon),,The Merry Old Soul ,"Walter Lantz, Producer [came in 3rd]"
1932/33 (6th),6,SHORT SUBJECT (Cartoon),1,The Three Little Pigs ,"Walt Disney, Producer"
1932/33 (6th),6,SHORT SUBJECT (Comedy),,Mister Mugg ,"Warren Doane, Producer [came in 3rd]"
1932/33 (6th),6,SHORT SUBJECT (Comedy),,A Preferred List ,"Louis Brock, Producer [came in 2nd]"
1932/33 (6th),6,SHORT SUBJECT (Comedy),1,So This Is Harris ,"Louis Brock, Producer"
1932/33 (6th),6,SHORT SUBJECT (Novelty),1,Krakatoa ,"Joe Rock, Producer"
1932/33 (6th),6,SHORT SUBJECT (Novelty),,Menu ,"Pete Smith, Producer [tied for 2nd]"
1932/33 (6th),6,SHORT SUBJECT (Novelty),,The Sea ,Educational [tied for 2nd]
1932/33 (6th),6,SOUND RECORDING,1,A Farewell to Arms ,"Paramount Studio Sound Department, Franklin B. Hansen, Sound Director"
1932/33 (6th),6,SOUND RECORDING,,42nd Street ,"Warner Bros. Studio Sound Department, Nathan Levinson, Sound Director"
1932/33 (6th),6,SOUND RECORDING,,Gold Diggers of 1933 ,"Warner Bros. Studio Sound Department, Nathan Levinson, Sound Director [came in 3rd]"
1932/33 (6th),6,SOUND RECORDING,,I Am a Fugitive from a Chain Gang ,"Warner Bros. Studio Sound Department, Nathan Levinson, Sound Director [came in 2nd]"
1932/33 (6th),6,WRITING (Adaptation),,Lady for a Day ,Robert Riskin [came in 2nd]
1932/33 (6th),6,WRITING (Adaptation),1,Little Women ,"Victor Heerman, Sarah Y. Mason"
1932/33 (6th),6,WRITING (Adaptation),,State Fair ,"Paul Green, Sonya Levien [came in 3rd]"
1932/33 (6th),6,WRITING (Original Story),1,One Way Passage ,Robert Lord
1932/33 (6th),6,WRITING (Original Story),,The Prizefighter and the Lady ,Frances Marion [came in 2nd]
1932/33 (6th),6,WRITING (Original Story),,Rasputin and the Empress ,Charles MacArthur [came in 3rd]
1932/33 (6th),6,SCIENTIFIC OR TECHNICAL AWARD (Class II),1,"To ELECTRICAL RESEARCH PRODUCTS, INC. for their wide range recording and reporducing system. [Sound]",
1932/33 (6th),6,SCIENTIFIC OR TECHNICAL AWARD (Class II),1,"To RCA-VICTOR COMPANY, INC. for their high-fidelity recording and reproducing system. [Sound]",
1932/33 (6th),6,SCIENTIFIC OR TECHNICAL AWARD (Class III),1,"To FOX FILM CORPORATION, FRED JACKMAN and WARNER BROS. PICTURES, INC., and SIDNEY SANDERS of RKO Studios, Inc., for their development and effective use of the translucent cellulose screen in composite photography. [Special Photographic]",
1934 (7th),7,ACTOR,1,Clark Gable,It Happened One Night
1934 (7th),7,ACTOR,,Frank Morgan,The Affairs of Cellini
1934 (7th),7,ACTOR,,William Powell,The Thin Man
1934 (7th),7,ACTRESS,1,Claudette Colbert,It Happened One Night
1934 (7th),7,ACTRESS,,Bette Davis,Of Human Bondage
1934 (7th),7,ACTRESS,,Grace Moore,One Night of Love
1934 (7th),7,ACTRESS,,Norma Shearer,The Barretts of Wimpole Street
1934 (7th),7,ART DIRECTION,,The Affairs of Cellini ,Richard Day [came in 3rd]
1934 (7th),7,ART DIRECTION,,The Gay Divorcee ,"Van Nest Polglase, Carroll Clark [came in 2nd]"
1934 (7th),7,ART DIRECTION,1,The Merry Widow ,"Cedric Gibbons, Fredric Hope"
1934 (7th),7,ASSISTANT DIRECTOR,,Cleopatra ,Cullen Tate [came in 2nd]
1934 (7th),7,ASSISTANT DIRECTOR,,Imitation of Life ,Scott Beal [came in 3rd]
1934 (7th),7,ASSISTANT DIRECTOR,1,Viva Villa! ,John Waters
1934 (7th),7,CINEMATOGRAPHY,,The Affairs of Cellini ,Charles Rosher [came in 3rd]
1934 (7th),7,CINEMATOGRAPHY,1,Cleopatra ,Victor Milner
1934 (7th),7,CINEMATOGRAPHY,,Operator 13 ,George Folsey [came in 2nd]
1934 (7th),7,DIRECTING,1,It Happened One Night ,Frank Capra
1934 (7th),7,DIRECTING,,One Night of Love ,Victor Schertzinger [came in 3rd]
1934 (7th),7,DIRECTING,,The Thin Man ,W. S. Van Dyke [came in 2nd]
1934 (7th),7,FILM EDITING,,Cleopatra ,Anne Bauchens [came in 3rd]
1934 (7th),7,FILM EDITING,1,Eskimo ,Conrad Nervig
1934 (7th),7,FILM EDITING,,One Night of Love ,Gene Milford [came in 2nd]
1934 (7th),7,MUSIC (Scoring),,The Gay Divorcee ,"RKO Radio Studio Music Department, Max Steiner, head of department  (Score by Kenneth Webb and Samuel Hoffenstein) [came in 2nd]"
1934 (7th),7,MUSIC (Scoring),,The Lost Patrol ,"RKO Radio Studio Music Department, Max Steiner, head of department  (Score by Max Steiner) [came in 3rd]"
1934 (7th),7,MUSIC (Scoring),1,One Night of Love ,"Columbia Studio Music Department, Louis Silvers, head of department  (Thematic Music by Victor Schertzinger and Gus Kahn)"
1934 (7th),7,MUSIC (Song),,"""Carioca"" from Flying Down to Rio",Music by Vincent Youmans; Lyrics by Edward Eliscu and Gus Kahn [came in 3rd]
1934 (7th),7,MUSIC (Song),1,"""The Continental"" from The Gay Divorcee",Music by Con Conrad; Lyrics by Herb Magidson
1934 (7th),7,MUSIC (Song),,"""Love In Bloom"" from She Loves Me Not",Music by Ralph Rainger; Lyrics by Leo Robin [came in 2nd]
